50,32,1024,1476536,0.19,7.64,92.17,90.82
50,64,1024,1356551,0.34,15.09,84.57,81.9
50,128,1024,1158435,0.65,28.48,70.87,67.62
50,256,1024,831512,1.32,50.74,47.95,44.13
50,512,1024,434921,2.58,78.63,18.79,15.37
50,1024,1024,254099,4.99,91.91,3.1,2.1
100,32,1024,1186443,0.13,14.87,85,62.26
100,64,1024,1027246,0.31,28.47,71.22,52.53
100,128,1024,743824,0.68,51.27,48.05,33.98
100,256,1024,396876,1.31,79.89,18.8,10.85
100,512,1024,250417,2.49,94.46,3.05,1.29
100,1024,1024,232463,5.06,94.76,0.18,0.08
150,32,1024,885845,0.17,21.84,77.99,32.36
150,64,1024,712920,0.31,40.85,58.84,24.12
150,128,1024,452534,0.64,68.31,31.05,10.44
150,256,1024,268347,1.26,91.45,7.3,1.54
150,512,1024,236532,2.54,96.77,0.69,0.14
150,1024,1024,231774,5.06,94.93,0.01,0
200,32,1024,674642,0.15,28.86,70.99,12.38
200,64,1024,481742,0.29,51.6,48.11,3.87
200,128,1024,313124,0.61,80.13,19.27,0.67
200,256,1024,242567,1.29,95.66,3.05,0.1
200,512,1024,235824,2.51,97.31,0.17,0
200,1024,1024,231872,5.08,94.91,0,0
250,32,1024,547893,0.18,34.83,64.99,1.72
250,64,1024,402752,0.34,60.67,38.99,0.22
250,128,1024,276721,0.63,87.1,12.27,0.02
250,256,1024,238003,1.3,97.37,1.33,0
250,512,1024,235909,2.55,97.39,0.06,0
250,1024,1024,231854,5.09,94.91,0,0
300,32,1024,505148,0.16,40.71,59.13,0.15
300,64,1024,365822,0.33,67.88,31.8,0.01
300,128,1024,259367,0.67,91.62,7.71,0
300,256,1024,238004,1.28,98.08,0.65,0
300,512,1024,236357,2.46,97.53,0.01,0
300,1024,1024,232484,4.88,95.12,0,0
